STRLocus	Chrom	Start	End	MotifLen	NotCountedBase	AsHaplotype
TPOX	chr2	1493425	1493456	4	0	No
D2S1338	chr2	218879582	218879673	4	0	No
D3S1358	chr3	45582231	45582294	4	0	No
FGA	chr4	155508888	155508975	4	0	No
D5S818	chr5	123111250	123111293	4	0	No
CSF1PO	chr5	149455887	149455938	4	0	No
D6S1043	chr6	92449943	92449990	4	0	No
D7S820	chr7	83789542	83789593	4	0	No
D8S1179	chr8	125907107	125907158	4	0	No
TH01	chr11	2192318	2192345	4	0	No
vWA	chr12	6093143	6093210	4	0	No
D12S391	chr12	12449954	12450029	4	0	No
D13S317	chr13	82722160	82722203	4	0	No
D16S539	chr16	86386308	86386351	4	0	No
D18S51	chr18	60948900	60948971	4	0	No
D19S433	chr19	30417142	30417205	4	8	No
PentaD	chr21	45056086	45056150	5	0	No
DYS393	chrY	3131152	3131199	4	0	Yes
DYS456	chrY	4270960	4271019	4	0	Yes
DYS570	chrY	6861231	6861298	4	0	Yes
DYS576	chrY	7053359	7053426	4	0	Yes
DYS522	chrY	7415626	7415665	4	0	Yes
DYS458	chrY	7867880	7867943	4	0	Yes
DYS596	chrY	8387540	8387635	6	0	Yes
DYS481	chrY	8426378	8426443	3	0	Yes
DYS627	chrY	8650013	8650096	4	0	Yes
DYS19	chrY	9521989	9522052	4	4	Yes
DYS391	chrY	14102795	14102838	4	0	Yes
DYS635	chrY	14379564	14379655	4	0	Yes
DYS437	chrY	14466994	14467057	4	0	Yes
DYS439	chrY	14515312	14515363	4	0	Yes
DYS389I	chrY	14612242	14612289	4	0	Yes
DYS438	chrY	14937824	14937873	5	0	Yes
DYS390	chrY	17274947	17275042	4	0	Yes
DYS643	chrY	17426012	17426066	5	0	Yes
DYS533	chrY	18393229	18393276	4	0	Yes
YGATAH4	chrY	18743553	18743600	4	0	Yes
DYS444	chrY	19226190	19226245	4	0	Yes
DYS460	chrY	21050842	21050881	4	0	Yes
DYS549	chrY	21520224	21520275	4	0	Yes
DYS392	chrY	22633873	22633911	3	0	Yes
DYS557	chrY	23234712	23234775	4	0	Yes
DYS645	chrY	23327908	23327947	5	0	Yes
